full_name,id,name,is_fork,owner,owner_url,repo_url,stars,forks,watchers,language,description,open_issues,license_name,topics,default_branch,pushed_at,created_at,updated_at
B2Bitcoin/beBOP,617162969,beBOP,False,B2Bitcoin,https://github.com/B2Bitcoin,https://github.com/B2Bitcoin/beBOP,28,5,28,TypeScript,Marvelous p2p bitcoin-based online sales platform,313,GNU Affero General Public License v3.0,,main,2025-02-17 16:08:15+00:00,2023-03-21 20:24:27+00:00,2025-02-14 16:36:27+00:00
topsecretagent007/ai-agent,921936847,ai-agent,False,topsecretagent007,https://github.com/topsecretagent007,https://github.com/topsecretagent007/ai-agent,14,19,14,TypeScript,blockchain ai agent blockchain agent ai,0,,"ai, ai-agent, blockchain, bot, trading, solana, meme",main,2025-01-24 22:53:09+00:00,2025-01-24 22:49:06+00:00,2025-02-05 15:57:14+00:00
TBR-Group-software/flutter_cryptocurrency_charts,432208360,flutter_cryptocurrency_charts,False,TBR-Group-software,https://github.com/TBR-Group-software,https://github.com/TBR-Group-software/flutter_cryptocurrency_charts,34,13,34,Dart,Flutter Cryptocurrency Charts application based on Clean Architecture.,0,GNU General Public License v3.0,"flutter, dart, flutter-bloc, clean-architecture, rest-api, flutter-charts, dependency-injection, shimmer, auto-router, crypto-currency",main,2024-11-04 13:34:46+00:00,2021-11-26 14:36:10+00:00,2025-01-20 16:30:26+00:00
Swarnendu0123/adopt-pet,823243100,adopt-pet,False,Swarnendu0123,https://github.com/Swarnendu0123,https://github.com/Swarnendu0123/adopt-pet,6,10,6,JavaScript,A Blockchain Based pet adopting platform.,12,MIT License,"hardhat, react, solidity",master,2024-11-11 15:55:09+00:00,2024-07-02 16:48:56+00:00,2025-01-02 13:58:17+00:00
bamactls/MEV-UniswapBot,915230898,MEV-UniswapBot,False,bamactls,https://github.com/bamactls,https://github.com/bamactls/MEV-UniswapBot,14,14,14,,"MEV Uniswap Bot – A sophisticated bot built for executing MEV-based trading strategies, including sandwich attacks, on Uniswap. Maximizes profitability with high security and compatibility across EVM networks. Perfect for traders and developers looking to capitalize on Ethereum's mempool opportunities and automated trading solutions.",0,,,main,2025-01-11 10:03:55+00:00,2025-01-11 10:02:50+00:00,2025-02-05 16:53:15+00:00
DaScient/SuperTrendTradingBot,408179641,SuperTrendTradingBot,False,DaScient,https://github.com/DaScient,https://github.com/DaScient/SuperTrendTradingBot,23,13,23,Python,"A DASCIENT, LLC proprietary project & fully autonomous application of robust technical indicators against publicly traded market data  & cryptocurrency blockchain exchange platforms - en Pÿťħôň.",0,MIT License,,main,2025-02-03 00:40:19+00:00,2021-09-19 16:33:52+00:00,2025-02-17 04:21:13+00:00
eriksol116/Pumpfun-sniper-grpc-V5.2-public,928414751,Pumpfun-sniper-grpc-V5.2-public,False,eriksol116,https://github.com/eriksol116,https://github.com/eriksol116/Pumpfun-sniper-grpc-V5.2-public,21,12,21,TypeScript,🌟🌟🌟🌟🌟 PumpFun Sniper Bot : snipe token within 1 - 2 blocks after token mint. so bot always make profit,0,,"pumpfun, pumpfun-sniper, sniper, solana, sniper-pumpfun, snipe",main,2025-02-10 19:57:46+00:00,2025-02-06 15:48:41+00:00,2025-02-19 09:33:00+00:00
mooncityorg/solana-volume-bot-raydium,827653229,solana-volume-bot-raydium,False,mooncityorg,https://github.com/mooncityorg,https://github.com/mooncityorg/solana-volume-bot-raydium,129,70,129,TypeScript,Solana Raydium Volume Bot. This volume bot distribute SOL to multiple wallets and buy and sell with that distributed wallets permanently on the Raydium platform.,0,,"jito, solana-bundler, solana-volume, volume-bot-solana, solana-bund, solana-vol, solana-volume-bot, raydium-volume-bot, trading-bot, volume-bot, volumebot",main,2025-02-03 20:15:43+00:00,2024-07-12 05:22:09+00:00,2025-02-19 23:35:11+00:00
XRPLF/XRPL-Technical-Explorer,383624571,XRPL-Technical-Explorer,False,XRPLF,https://github.com/XRPLF,https://github.com/XRPLF/XRPL-Technical-Explorer,20,10,20,Vue,Technical (JSON viewer) explorer for XRPL devs. Click on account / hash / ... to zoom in.,4,MIT License,"xrpl, xrp, blockchain, explorer",main,2024-06-06 21:52:16+00:00,2021-07-06 23:49:46+00:00,2025-02-12 13:59:39+00:00
Rust-Sol-Dev/solana-raydium-volume-bot,823387781,solana-raydium-volume-bot,False,Rust-Sol-Dev,https://github.com/Rust-Sol-Dev,https://github.com/Rust-Sol-Dev/solana-raydium-volume-bot,11,6,11,TypeScript,💰Solana Raydium Volume Bot on Raydium to increase volume. Solana Raydium Volume Bot Solana Raydium Volume Bot Solana Raydium Volume Bot Solana Raydium Volume Bot Solana Raydium Volume Bot Solana Raydium Volume Bot Solana Raydium Volume Bot Solana Raydium Volume Bot Solana Raydium Volume Bot Solana Raydium Volume Bot Solana Raydium Volume Bot Solan,1,,"raydium, solana, volume-bot, bot, volume",master,2025-02-12 21:56:03+00:00,2024-07-03 00:17:29+00:00,2025-02-20 13:01:56+00:00
