full_name,id,name,is_fork,owner,owner_url,repo_url,stars,forks,watchers,language,description,open_issues,license_name,topics,default_branch,pushed_at,created_at,updated_at
ton-blockchain/minter,498716831,minter,False,ton-blockchain,https://github.com/ton-blockchain,https://github.com/ton-blockchain/minter,162,108,162,TypeScript,Jetton Deployer Frontend,35,MIT License,hacktoberfest,main,2025-02-10 06:42:59+00:00,2022-06-01 11:56:12+00:00,2025-02-18 14:19:30+00:00
cheqd/cheqd-node,352898787,cheqd-node,False,cheqd,https://github.com/cheqd,https://github.com/cheqd/cheqd-node,66,45,66,Go,Ledger/node software for cheqd's decentralised identity network. Built using the Cosmos SDK blockchain framework.,1,Apache License 2.0,"self-sovereign-identity, decentralized-identity, decentralized-identifiers, cosmos, blockchain, decentralized, p2p, cosmos-sdk, hacktoberfest",main,2025-02-17 23:28:04+00:00,2021-03-30 06:48:02+00:00,2025-02-18 08:10:31+00:00
KoalaSat/nostros,556865598,nostros,False,KoalaSat,https://github.com/KoalaSat,https://github.com/KoalaSat/nostros,414,30,414,TypeScript,Nostr client on Android,48,Apache License 2.0,"android, bitcoin, lightning-network, nostr, react-native, ios, deserialize, foss",main,2025-02-02 10:53:19+00:00,2022-10-24 17:00:13+00:00,2025-02-12 01:40:51+00:00
jbatalle/queds,477860600,queds,False,jbatalle,https://github.com/jbatalle,https://github.com/jbatalle/queds,14,4,14,Python,"Finance portfolio for manage all your finance assets: stock transactions, crypto transactions... and tax calculation",1,Apache License 2.0,"crypto, crypto-portfolio, management, portfolio, python, stock, stock-portfolio, stock-portfolio-management, stock-portfolio-manager, cryptocurrency, fifo",master,2025-02-11 16:05:05+00:00,2022-04-04 20:21:55+00:00,2025-01-05 11:37:03+00:00
CheemsHappyCoin/Pay,935295201,Pay,False,CheemsHappyCoin,https://github.com/CheemsHappyCoin,https://github.com/CheemsHappyCoin/Pay,57,7,57,Go,Three-party payment merchants system based on web3. 一个基于web3的区块三方支付系统,2,MIT License,"payment, web3",main,2025-02-21 13:41:57+00:00,2025-02-19 08:08:28+00:00,2025-02-22 02:26:02+00:00
KaffinPX/Kaspian,738259701,Kaspian,False,KaffinPX,https://github.com/KaffinPX,https://github.com/KaffinPX/Kaspian,17,6,17,TypeScript,👛 Most compact way to use your Kaspa elegantly.,2,GNU General Public License v3.0,"extension, kaspa, wallet, chrome, firefox",main,2025-01-27 18:42:12+00:00,2024-01-02 20:13:54+00:00,2025-02-01 02:43:45+00:00
