url,name,description,language,Category,blockchain,updated_at
https://api.github.com/repos/BlocknetDX/block-dx,block-dx,BLOCK DX p2p exchange dapp,JavaScript,Others,ethereum,2024-04-03 16:35:58+00:00
https://api.github.com/repos/kleros/escrow,escrow,Decentralized Escrow - Ethereum Project,JavaScript,Others,ethereum,2024-12-09 11:29:39+00:00
https://api.github.com/repos/jammy928/CoinExchange_CryptoExchange_Java,CoinExchange_CryptoExchange_Java,"The best Java open source crypto currency exchange platform, bitcoin exchange based on Java | BTC exchange | ETH exchange | digital currency exchange | trading platform | matching trading engine. This project is based on the development of Spring Cloud mi",Java,Crypto,bitcoin,2024-05-12 15:29:18+00:00
https://api.github.com/repos/snaketh4x0r/SocialStreams,SocialStreams,Stream money for people's time using uniswap and sablier,JavaScript,Others,uniswap,2024-04-23 02:10:54+00:00
https://api.github.com/repos/merc1er/bchtipbot,bchtipbot,Telegram Bitcoin Cash Tipping Bot,Python,Others,bitcoin cash,2024-09-02 10:51:14+00:00
https://api.github.com/repos/btcpayserver/directory.btcpayserver.org,directory.btcpayserver.org,"BTCPay Server Directory - Merchants, Projects & Charities accepting Bitcoin",,Others,bitcoin,2025-02-14 05:55:07+00:00
https://api.github.com/repos/valueinstrument/v-alpha-2,v-alpha-2,Value Instrument Prototype - Version 2,JavaScript,Others,ethereum,2025-02-10 19:34:32+00:00
https://api.github.com/repos/JoinColony/colonyDapp,colonyDapp,"The dAppest version of Colony, ever",TypeScript,Others,ethereum,2024-05-22 07:25:39+00:00
https://api.github.com/repos/nori-dot-eco/contracts,contracts,The ethereum smart contracts that power nori.com,JavaScript,Others,ethereum,2024-04-16 20:59:38+00:00
https://api.github.com/repos/monero-ecosystem/telegram-monerotipbot,telegram-monerotipbot,"This is the repository of the Monero tip bot for Telegram. The one and only, first Monero wallet for Telegram.",Go,Crypto,monero,2025-02-08 02:31:37+00:00
https://api.github.com/repos/effectai/effect-network-eos,effect-network-eos,EOS smart contract for the Effect.AI token,C++,Crypto,eos,2024-11-02 11:01:05+00:00
https://api.github.com/repos/mempool-space/mempool.space,mempool.space,Mempool visualizer for the Bitcoin blockchain.,TypeScript,Crypto,bitcoin,2025-03-06 03:54:29+00:00
https://api.github.com/repos/nnqq/blockchain-explorer-telegram-bot,blockchain-explorer-telegram-bot,"???? BTC & ETH blockchain explorer search, addresses and price Watch Lists and more...",,Crypto,multi,2024-08-19 19:24:43+00:00
https://api.github.com/repos/keep-network/tbtc-website,tbtc-website,Trustlessly tokenized Bitcoin on Ethereum ;),JavaScript,Crypto,multi,2024-10-31 02:19:00+00:00
https://api.github.com/repos/LedgerHQ/ledger-app-eos,ledger-app-eos,,C,Crypto,eos,2024-12-18 15:45:08+00:00
https://api.github.com/repos/snieking/chromunity,chromunity,A decentralized social media site built with Rell on top of the public relational blockchain platform Chromia.,TypeScript,Others,others,2024-10-04 17:30:10+00:00
https://api.github.com/repos/MetaMask/Add-Token,Add-Token,A simple web3 dapp that allows suggesting a token to users of compatible wallets like MetaMask.,JavaScript,Crypto,ethereum,2024-06-11 05:13:52+00:00
https://api.github.com/repos/rtoken-project/rtoken-monorepo,rtoken-monorepo,RToken Ethereum monorepo,Solidity,Crypto,ethereum,2024-12-16 20:54:55+00:00
https://api.github.com/repos/byteball/btc-oracle,btc-oracle,An oracle that posts data about recent Bitcoin payments into Byteball database,,Crypto,bitcoin,2024-02-23 00:10:19+00:00
https://api.github.com/repos/dappforce/dappforce-subsocial-offchain,dappforce-subsocial-offchain,Off-chain storage for Subsocial blockchain.,TypeScript,Others,multi,2024-04-25 14:43:28+00:00
https://api.github.com/repos/darosior/python-bip32,python-bip32,Basic implementation of BIP32,Python,Crypto,bitcoin,2024-09-07 12:33:46+00:00
https://api.github.com/repos/adityapk00/zecpaperwallet,zecpaperwallet,Zcash Sapling Paper Wallet Generator,Rust,Crypto,zcash,2024-03-13 18:07:28+00:00
https://api.github.com/repos/solana-labs/solana-program-library,solana-program-library,A collection of Solana-maintained on-chain programs,,Others,solana,2025-03-05 10:14:40+00:00
https://api.github.com/repos/worldwide-asset-exchange/wax-blockchain,wax-blockchain,"Worldwide Asset eXchange (WAX/wax.io) is an eos compatible blockchain and protocol token designed to make e-commerce transactions faster, easier, and safer.",C++,Crypto,eos,2024-12-03 05:00:13+00:00
https://api.github.com/repos/running-coder/nanolooker,nanolooker,Explore the Nano currency blockchain,,Others,nano,2024-05-24 06:56:54+00:00
https://api.github.com/repos/bancorprotocol/contracts-solidity,contracts-solidity,Bancor Protocol Contracts,JavaScript,Others,ethereum,2024-05-08 21:08:33+00:00
https://api.github.com/repos/kleros/archon,archon,Provides functionality for Arbitrator and Arbitrable Ethereum smart contracts as defined in ERC 792.,JavaScript,Crypto,ethereum,2025-02-19 18:32:23+00:00
https://api.github.com/repos/FriendlyUser/file-track-Dapp,file-track-Dapp,"Upload and track IPFS files securely on the Ethereum Network, supports UPORT",,Others,ethereum,2024-05-07 16:49:41+00:00
https://api.github.com/repos/vittominacori/watch-token,watch-token,A simple DApp that allows suggesting and adding a token to users of compatible wallets like MetaMask.,,Crypto,ethereum,2024-12-13 22:10:29+00:00
https://api.github.com/repos/LedgerHQ/ledger-app-xrp,ledger-app-xrp,Ripple wallet application for Ledger Blue and Nano S,C,Crypto,multi,2025-01-15 13:21:15+00:00
https://api.github.com/repos/evenchange4/ethereum-hot-wallet,ethereum-hot-wallet,A react-native hot wallet that communicates with geth node.,JavaScript,Crypto,ethereum,2025-03-05 00:47:26+00:00
https://api.github.com/repos/NeoNextClub/neoline,neoline,A handy NEO wallet in your browser.,,Crypto,neo,2025-03-04 03:03:33+00:00
https://api.github.com/repos/oficinastk/Thoreau.Centre.Blockchain.Arts,Thoreau.Centre.Blockchain.Arts,"Static page info and model repo for the TCBA, a virtual exhibition space on Decentraland",,Others,decentraland,2024-04-10 16:29:49+00:00
