full_name,id,name,is_fork,owner,owner_url,repo_url,stars,forks,watchers,language,description,open_issues,license_name,topics,default_branch,pushed_at,created_at,updated_at
Jaammerr/Carv-BOT,784466988,Carv-BOT,False,Jaammerr,https://github.com/Jaammerr,https://github.com/Jaammerr/Carv-BOT,24,7,24,Python,Carv daily bot for auto minting SOUL and claiming rewards,0,,,1.0,2024-04-27 06:15:43+00:00,2024-04-09 22:59:10+00:00,2025-02-21 00:59:38+00:00
Crystal-Nest/soul-fire-d,526548009,soul-fire-d,False,Crystal-Nest,https://github.com/Crystal-Nest,https://github.com/Crystal-Nest/soul-fire-d,5,6,5,Java,Let Soul Fire burn!,5,GNU General Public License v3.0,"minecraft, minecraft-fabric-mod, minecraft-forge-mod, minecraft-mod, minecraft-neoforge-mod, minecraft-api, mod-api",1.21.4,2025-02-28 21:50:14+00:00,2022-08-19 09:42:10+00:00,2025-02-28 21:47:41+00:00
syncswap/core-contracts,558055848,core-contracts,False,syncswap,https://github.com/syncswap,https://github.com/syncswap/core-contracts,67,46,67,Solidity,,4,GNU General Public License v3.0,,master,2024-03-21 13:30:14+00:00,2022-10-26 20:14:33+00:00,2025-01-11 10:47:39+00:00
zeriontech/zerion-wallet-extension,487361210,zerion-wallet-extension,False,zeriontech,https://github.com/zeriontech,https://github.com/zeriontech/zerion-wallet-extension,62,35,62,TypeScript,Your crypto wallet for everything onchain.,34,GNU General Public License v3.0,,main,2025-03-05 20:57:05+00:00,2022-04-30 19:13:40+00:00,2025-02-27 06:38:18+00:00
decentxyz/decent-bridge,705707235,decent-bridge,False,decentxyz,https://github.com/decentxyz,https://github.com/decentxyz/decent-bridge,24,21,24,Solidity,The Bridgoooooooor,1,,,main,2025-01-12 23:04:38+00:00,2023-10-16 14:37:07+00:00,2025-01-12 23:04:42+00:00
argentlabs/argent-contracts,166830546,argent-contracts,False,argentlabs,https://github.com/argentlabs,https://github.com/argentlabs/argent-contracts,593,216,593,Solidity,Smart Contracts for Argent Wallet,20,GNU General Public License v3.0,"account-abstraction, argent, ethereum, solidity, smart-contracts",develop,2024-07-29 10:32:03+00:00,2019-01-21 14:48:26+00:00,2025-03-03 08:14:36+00:00
open-chat-labs/open-chat,322613245,open-chat,False,open-chat-labs,https://github.com/open-chat-labs,https://github.com/open-chat-labs/open-chat,184,57,184,Rust,This is the main repository for the OpenChat application which runs on the Internet Computer,223,GNU Affero General Public License v3.0,"chat-application, internet-computer",master,2025-03-05 18:35:47+00:00,2020-12-18 14:10:36+00:00,2025-03-05 18:35:51+00:00
