full_name,id,name,is_fork,owner,owner_url,repo_url,stars,forks,watchers,language,description,open_issues,license_name,topics,default_branch,pushed_at,created_at,updated_at
cypherstack/stack_wallet,529170413,stack_wallet,False,cypherstack,https://github.com/cypherstack,https://github.com/cypherstack/stack_wallet,258,69,258,Dart,"Stack Wallet, a multicoin, cryptocurrency wallet",122,GNU General Public License v3.0,"android, blockchain, cryptocurrency, ios, linux, macos, wallet, windows, hacktoberfest",main,2025-02-21 16:41:28+00:00,2022-08-26 08:06:26+00:00,2025-02-21 13:37:53+00:00
L9T-Development/ai-agent-contract,925706882,ai-agent-contract,False,L9T-Development,https://github.com/L9T-Development,https://github.com/L9T-Development/ai-agent-contract,11,7,11,Solidity,AI Agent smart contract: ai agent and blockchain,0,,,main,2025-02-15 00:54:21+00:00,2025-02-01 14:49:25+00:00,2025-02-15 01:58:11+00:00
moviendome/expo-solana-wallet,407059971,expo-solana-wallet,False,moviendome,https://github.com/moviendome,https://github.com/moviendome/expo-solana-wallet,209,69,209,TypeScript,Cross-Platform Solana Wallet built with Expo and Solana/web3.js,2,MIT License,"expo, react-native, solana, cross-platform, web3",main,2024-08-19 06:21:16+00:00,2021-09-16 07:08:04+00:00,2025-02-07 19:09:16+00:00
subquery/network-app,413210261,network-app,False,subquery,https://github.com/subquery,https://github.com/subquery/network-app,15,17,15,TypeScript,"dApp for Node Operators, consumers and delegators interact with SubQuery Network",7,GNU General Public License v3.0,,main,2025-02-20 07:44:04+00:00,2021-10-03 22:21:44+00:00,2025-02-20 07:44:08+00:00
cardano-foundation/cf-lob-platform,823012927,cf-lob-platform,False,cardano-foundation,https://github.com/cardano-foundation,https://github.com/cardano-foundation/cf-lob-platform,6,5,6,Java,"The Ledger on the Blockchain (LOB) aka Reeve project aims to develop a solution that supports the adoption of Blockchain as a decentralised ledger, for digital recording and storing of accounting and financial information.",7,Apache License 2.0,,main,2025-02-21 17:20:00+00:00,2024-07-02 09:04:16+00:00,2025-02-21 12:04:04+00:00
jwest951227/solana-copytrading-bot-Rust,901585760,solana-copytrading-bot-Rust,False,jwest951227,https://github.com/jwest951227,https://github.com/jwest951227/solana-copytrading-bot-Rust,11,5,11,Rust,💱 Solana Copytrading bot🚀: This solana copytrading bot is an advanced copytrading bot that has Rust version. Rust Copytrading Bot keeps less delay than Typescript Copytrading bot.,0,,"bot, copytrading, copytradingbot, solana, wallettracker, copy-trading, copytrading-bot, solana-copytrading-bot, rust, pumpfun, raydium, same-block, sameblock",master,2025-02-19 16:23:52+00:00,2024-12-10 23:56:48+00:00,2025-02-19 16:23:55+00:00
WinoGarcia/CryptoPay,478645504,CryptoPay,False,WinoGarcia,https://github.com/WinoGarcia,https://github.com/WinoGarcia/CryptoPay,22,8,22,C#,Cryptocurrency payment system based on @cryptobot in Telegram,0,MIT License,,main,2025-01-02 17:03:18+00:00,2022-04-06 16:43:40+00:00,2025-01-02 17:03:22+00:00
LedgerHQ/app-bitcoin-new,398306156,app-bitcoin-new,False,LedgerHQ,https://github.com/LedgerHQ,https://github.com/LedgerHQ/app-bitcoin-new,97,74,97,C,Modern Bitcoin Application based on PSBT and Descriptors,46,Apache License 2.0,bitcoin,develop,2025-02-18 14:04:13+00:00,2021-08-20 14:38:54+00:00,2025-02-08 19:19:50+00:00
pagu-project/pagu,717412198,pagu,False,pagu-project,https://github.com/pagu-project,https://github.com/pagu-project/pagu,8,13,8,Go,Pactus Bot  Engine,43,MIT License,"discord-bot, faucet, pactus, automation, blockchain",main,2025-02-15 19:49:10+00:00,2023-11-11 12:20:52+00:00,2025-02-14 18:52:28+00:00
ryu878/bybit_scalp_bot_v2,559321289,bybit_scalp_bot_v2,False,ryu878,https://github.com/ryu878,https://github.com/ryu878/bybit_scalp_bot_v2,63,22,63,Python,Simple bybit scalp bot v2 (with binance data to check moving averages),3,GNU General Public License v3.0,"binance, binance-api, binance-bot, binance-exchange, bot, bots, cryptocurrency, futures, trading, bybit, bybit-api, bybit-rest",main,2025-02-14 10:03:07+00:00,2022-10-29 18:45:47+00:00,2025-02-15 15:14:43+00:00
AmirAgassi/dump.fun,821614245,dump.fun,False,AmirAgassi,https://github.com/AmirAgassi,https://github.com/AmirAgassi/dump.fun,24,5,24,JavaScript,"Solana pump.fun memecoin-launch sniper, utilizing a reverse-engineered program IDL & local RPC node support.",0,,,main,2024-07-03 14:26:31+00:00,2024-06-29 00:50:56+00:00,2025-02-11 10:09:46+00:00
rajkharvar/disperse,434998593,disperse,False,rajkharvar,https://github.com/rajkharvar,https://github.com/rajkharvar/disperse,26,16,26,TypeScript,Disperse helps you to distribute ERC20 token or ethers to number of accounts in single transaction.,1,,"web3, hardhat, ethersjs, ethereum",master,2024-12-27 07:38:58+00:00,2021-12-04 20:08:11+00:00,2024-12-27 07:41:41+00:00
